
./vecadd_opt3 Number of trials=10,    avg=0.0231274, std dev=0.00390574
OMP_PROC_BIND=spread OMP_PLACES=cores OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0845073, std dev=0.000431388

OMP_PROC_BIND=master OMP_PLACES=cores OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.253753, std dev=0.00294375

OMP_PROC_BIND=true OMP_PLACES=sockets OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0837538, std dev=0.000161914

OMP_PROC_BIND=false OMP_PLACES=sockets OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.084054, std dev=0.000199807

OMP_PROC_BIND=close OMP_PLACES=sockets OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.084575, std dev=0.00240908

OMP_PROC_BIND=spread OMP_PLACES=sockets OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0848691, std dev=0.00293387

OMP_PROC_BIND=master OMP_PLACES=sockets OMP_NUM_THREADS=4 ./vecadd_opt3 Number of trials=10,    avg=0.0865001, std dev=0.00024194

OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.163388, std dev=0.000462306

OMP_PROC_BIND=true OMP_PLACES=threads OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.232415, std dev=0.00269018

OMP_PROC_BIND=false OMP_PLACES=threads OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.163232, std dev=4.32268e-05

OMP_PROC_BIND=close OMP_PLACES=threads OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.233555, std dev=0.00232211

OMP_PROC_BIND=spread OMP_PLACES=threads OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.163857, std dev=0.000422913

OMP_PROC_BIND=master OMP_PLACES=threads OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.355004, std dev=0.00983061

OMP_PROC_BIND=true OMP_PLACES=cores OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.169122, std dev=0.000674435

OMP_PROC_BIND=false OMP_PLACES=cores OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.16359, std dev=0.000571021

OMP_PROC_BIND=close OMP_PLACES=cores OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.170319, std dev=0.000445933

OMP_PROC_BIND=spread OMP_PLACES=cores OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.16377, std dev=0.000467059

OMP_PROC_BIND=master OMP_PLACES=cores OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.232444, std dev=0.00218649

OMP_PROC_BIND=true OMP_PLACES=sockets OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.163408, std dev=0.000169275

OMP_PROC_BIND=false OMP_PLACES=sockets OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.163173, std dev=0.000206901

OMP_PROC_BIND=close OMP_PLACES=sockets OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.163393, std dev=8.35984e-05

OMP_PROC_BIND=spread OMP_PLACES=sockets OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.163351, std dev=4.36619e-05

OMP_PROC_BIND=master OMP_PLACES=sockets OMP_NUM_THREADS=2 ./vecadd_opt3 Number of trials=10,    avg=0.167599, std dev=0.00062106

OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.324711, std dev=0.000475648

OMP_PROC_BIND=true OMP_PLACES=threads OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.328297, std dev=0.00104147

OMP_PROC_BIND=false OMP_PLACES=threads OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.325989, std dev=0.00131251

OMP_PROC_BIND=close OMP_PLACES=threads OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.328378, std dev=0.00109454

OMP_PROC_BIND=spread OMP_PLACES=threads OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.328196, std dev=0.00108725

OMP_PROC_BIND=master OMP_PLACES=threads OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.328282, std dev=0.00125179

OMP_PROC_BIND=true OMP_PLACES=cores OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.327976, std dev=0.00161952

OMP_PROC_BIND=false OMP_PLACES=cores OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.327125, std dev=0.00122952

